;AnoMes;PAG_PFPJ;REC_PFPJ;PAG_REGIAO;REC_REGIAO;PAG_IDADE;REC_IDADE;FORMAINICIACAO;NATUREZA;FINALIDADE;VALOR;QUANTIDADE
2045;2025-01-01 00:00:00;PJ;PF;SUDESTE;SUL;Nao se aplica;até 19 anos;DICT;B2P;Pix;132958215090000,0;1279997000
2046;2025-01-01 00:00:00;PF;PF;NORTE;CENTRO-OESTE;até 19 anos;mais de 60 anos;QRDN;P2P;Pix;73930240000,0;3697000
2047;2025-01-01 00:00:00;PF;PF;SUDESTE;NORDESTE;entre 30 e 39 anos;até 19 anos;QRES;P2P;Pix;1175912680000,0;26183000
2048;2025-01-01 00:00:00;PJ;PF;NORTE;NORDESTE;Nao se aplica;entre 50 e 59 anos;Nao disponivel;B2P;Nao disponivel;115743850000,0;315000
2049;2025-01-01 00:00:00;PF;PF;NORDESTE;SUL;até 19 anos;entre 20 e 29 anos;QRDN;P2P;Pix;84917810000,0;4930000
2050;2025-01-01 00:00:00;PJ;PJ;Nao informado;SUDESTE;Nao se aplica;Nao se aplica;MANU;B2B;Pix;108736948830000,0;624000
2051;2025-01-01 00:00:00;PF;PF;Nao informado;SUL;entre 40 e 49 anos;entre 50 e 59 anos;DICT;P2P;Pix;2205039360000,0;3319000
2052;2025-01-01 00:00:00;PF;PJ;NORTE;CENTRO-OESTE;entre 30 e 39 anos;Nao se aplica;QRES;P2G;Pix;42126860000,0;586000
2053;2025-01-01 00:00:00;PF;PF;NORTE;CENTRO-OESTE;entre 20 e 29 anos;entre 40 e 49 anos;DICT;P2P;Pix;38245707080000,0;187680000
2054;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;Nao informado;entre 20 e 29 anos;mais de 60 anos;DICT;P2P;Pix;202876250000,0;359000
2055;2025-01-01 00:00:00;PF;PF;Nao informado;SUL;mais de 60 anos;entre 30 e 39 anos;DICT;P2P;Pix;1196137860000,0;1593000
2056;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;NORTE;entre 30 e 39 anos;entre 40 e 49 anos;QRDN;P2P;Pix;830918620000,0;25364000
2057;2025-01-01 00:00:00;PJ;PF;SUL;NORTE;Nao se aplica;entre 20 e 29 anos;MANU;B2P;Pix;35977925680000,0;69059000
2058;2025-01-01 00:00:00;PF;PJ;SUL;NORDESTE;entre 40 e 49 anos;Nao se aplica;QRES;P2B;Pix;6823247620000,0;99808000
2059;2025-01-01 00:00:00;PF;PF;Nao informado;NORDESTE;Nao informado;entre 50 e 59 anos;DICT;P2P;Pix;458030000,0;10000
2060;2025-01-01 00:00:00;PJ;PF;NORDESTE;SUL;Nao se aplica;entre 50 e 59 anos;QRES;B2P;Pix;325115790000,0;912000
2061;2025-01-01 00:00:00;PF;PF;SUDESTE;NORTE;entre 50 e 59 anos;entre 40 e 49 anos;DICT;P2P;Pix;30066486400000,0;77033000
2062;2025-01-01 00:00:00;PF;PJ;SUL;SUDESTE;entre 40 e 49 anos;Nao se aplica;QRDN;P2B;Pix Troco;223240000,0;2000
2063;2025-01-01 00:00:00;PJ;PJ;CENTRO-OESTE;Nao informado;Nao se aplica;Nao se aplica;MANU;B2B;Pix;459872840000,0;26000
2064;2025-01-01 00:00:00;PF;PF;SUDESTE;Nao informado;mais de 60 anos;Nao informado;QRDN;P2P;Pix;59940000,0;1000
2065;2025-01-01 00:00:00;PF;PJ;NORTE;NORTE;mais de 60 anos;Nao se aplica;MANU;P2G;Pix;34584070000,0;63000
2066;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;Nao informado;até 19 anos;entre 30 e 39 anos;Nao disponivel;P2P;Nao disponivel;56890000,0;5000
2067;2025-01-01 00:00:00;PJ;PF;SUL;CENTRO-OESTE;Nao se aplica;entre 40 e 49 anos;QRDN;B2P;Pix;326287680000,0;4549000
2068;2025-01-01 00:00:00;PJ;PF;SUDESTE;SUDESTE;Nao se aplica;entre 50 e 59 anos;Nao disponivel;B2P;Nao disponivel;74007809650000,0;654478000
2069;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;CENTRO-OESTE;entre 20 e 29 anos;entre 20 e 29 anos;Nao disponivel;P2P;Nao disponivel;14759600020000,0;51141000
2070;2025-01-01 00:00:00;PF;PF;NORTE;SUDESTE;entre 40 e 49 anos;entre 40 e 49 anos;DICT;P2P;Pix;51144673110000,0;155052000
2071;2025-01-01 00:00:00;PF;PF;SUDESTE;CENTRO-OESTE;entre 30 e 39 anos;entre 40 e 49 anos;QRES;P2P;Pix;1921450690000,0;37951000
2072;2025-01-01 00:00:00;PF;PF;SUL;SUDESTE;entre 30 e 39 anos;entre 50 e 59 anos;DICT;P2P;Pix;55704801100000,0;159337000
2073;2025-01-01 00:00:00;PF;PJ;SUL;CENTRO-OESTE;entre 30 e 39 anos;Nao se aplica;Nao disponivel;P2B;Nao disponivel;154861070000,0;296000
2074;2025-01-01 00:00:00;PJ;PF;NORDESTE;SUL;Nao se aplica;até 19 anos;QRDN;B2P;Pix;60577750000,0;74000
